,SA22023_V1_00_usual_residence_address,SA2_2023_V1_00_Origin_NAME,SA22023_V1_00_NAME_ASCII_usual_residence_address,SA22023_V1_00_educational_institution_address,SA2_2023_V1_00_Destination_NAME,SA22023_V1_00_NAME_ASCII_educational_institution_address,2018_Study_at_home,2018_Drive_a_car_truck_or_van,2018_Passenger_in_a_car_truck_or_van,2018_Bicycle,2018_Walk_or_jog,2018_School_bus,2018_Public_bus,2018_Train,2018_Ferry,2018_Other,study_2018_Total_stated,2023_Study_at_home,2023_Drive_a_car_truck_or_van,2023_Passenger_in_a_car_truck_or_van,2023_Bicycle,2023_Walk_or_jog,2023_School_bus,2023_Public_bus,2023_Train,2023_Ferry,2023_Other,study_2023_Total_stated
0,100100,North Cape,North Cape,100100,North Cape,North Cape,27,0,45,0,12,60,0,0,0,0,147,48,0,75,0,12,57,0,0,0,0,201
1,100100,North Cape,North Cape,100700,Kaitāia East,Kaitaia East,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,15
2,100100,North Cape,North Cape,100800,Kaitāia West,Kaitaia West,0,0,6,0,0,63,0,0,0,0,72,0,0,9,0,0,60,0,0,0,0,78
3,100100,North Cape,North Cape,107100,Whangārei Central,Whangarei Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,100200,Rangaunu Harbour,Rangaunu Harbour,100100,North Cape,North Cape,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,18
5,100200,Rangaunu Harbour,Rangaunu Harbour,100200,Rangaunu Harbour,Rangaunu Harbour,54,0,42,0,0,42,0,0,0,0,147,84,0,42,0,9,36,0,0,0,0,171
6,100200,Rangaunu Harbour,Rangaunu Harbour,100400,Karikari Peninsula,Karikari Peninsula,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,9,0,0,0,0,12
7,100200,Rangaunu Harbour,Rangaunu Harbour,100700,Kaitāia East,Kaitaia East,0,0,15,0,0,18,0,0,0,0,39,0,6,24,0,0,15,0,0,0,0,45
8,100200,Rangaunu Harbour,Rangaunu Harbour,100800,Kaitāia West,Kaitaia West,0,6,45,0,0,78,0,0,0,0,132,0,9,60,0,0,66,0,0,0,0,141
9,100200,Rangaunu Harbour,Rangaunu Harbour,100900,Rangitihi,Rangitihi,0,0,0,0,0,12,0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,12
10,100200,Rangaunu Harbour,Rangaunu Harbour,101101,Doubtless Bay,Doubtless Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9
11,100400,Karikari Peninsula,Karikari Peninsula,100200,Rangaunu Harbour,Rangaunu Harbour,0,0,6,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,9
12,100400,Karikari Peninsula,Karikari Peninsula,100400,Karikari Peninsula,Karikari Peninsula,12,0,18,0,0,24,0,0,0,0,54,30,0,12,0,0,36,0,0,0,0,78
13,100400,Karikari Peninsula,Karikari Peninsula,100700,Kaitāia East,Kaitaia East,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
14,100400,Karikari Peninsula,Karikari Peninsula,100800,Kaitāia West,Kaitaia West,0,0,0,0,0,18,0,0,0,0,24,0,0,12,0,0,24,0,0,0,0,42
15,100400,Karikari Peninsula,Karikari Peninsula,101101,Doubtless Bay,Doubtless Bay,0,0,6,0,0,12,0,0,0,0,15,0,0,18,0,0,33,0,0,0,0,51
16,100500,Tangonge,Tangonge,100200,Rangaunu Harbour,Rangaunu Harbour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17,100500,Tangonge,Tangonge,100500,Tangonge,Tangonge,15,0,12,0,0,15,0,0,0,0,45,21,0,12,0,0,15,0,0,0,0,54
18,100500,Tangonge,Tangonge,100600,Ahipara,Ahipara,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
19,100500,Tangonge,Tangonge,100700,Kaitāia East,Kaitaia East,0,9,12,0,0,9,0,0,0,0,27,0,9,12,0,0,12,0,0,0,0,36
20,100500,Tangonge,Tangonge,100800,Kaitāia West,Kaitaia West,0,0,33,0,0,45,0,0,0,0,84,0,6,36,0,0,42,0,0,0,0,90
21,100500,Tangonge,Tangonge,100900,Rangitihi,Rangitihi,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12
22,100600,Ahipara,Ahipara,100500,Tangonge,Tangonge,0,0,51,6,9,0,0,0,0,0,69,0,0,36,0,6,0,0,0,0,0,48
23,100600,Ahipara,Ahipara,100600,Ahipara,Ahipara,9,0,9,0,0,0,0,0,0,0,27,42,0,0,0,0,0,0,0,0,0,42
