,SA22023_V1_00_usual_residence_address,SA2_2023_V1_00_Origin_NAME,SA22023_V1_00_NAME_ASCII_usual_residence_address,SA22023_V1_00_workplace_address,SA2_2023_V1_00_Destination_NAME,SA22023_V1_00_NAME_ASCII_workplace_address,2018_Work_at_home,2018_Drive_a_private_car_truck_or_van,2018_Drive_a_company_car_truck_or_van,2018_Passenger_in_a_car_truck_van_or_company_bus,2018_Public_bus,2018_Train,2018_Bicycle,2018_Walk_or_jog,2018_Ferry,2018_Other,work_2018_Total_stated,2023_Work_at_home,2023_Drive_a_private_car_truck_or_van,2023_Drive_a_company_car_truck_or_van,2023_Passenger_in_a_car_truck_van_or_company_bus,2023_Public_bus,2023_Train,2023_Bicycle,2023_Walk_or_jog,2023_Ferry,2023_Other,work_2023_Total_stated
0,100100,North Cape,North Cape,100100,North Cape,North Cape,144,117,33,9,0,0,0,21,0,6,330,198,165,39,12,0,0,0,15,0,6,438
1,100100,North Cape,North Cape,100200,Rangaunu Harbour,Rangaunu Harbour,0,30,9,0,0,0,0,0,0,0,42,0,42,6,0,0,0,0,0,0,0,51
2,100100,North Cape,North Cape,100500,Tangonge,Tangonge,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9
3,100100,North Cape,North Cape,100700,Kaitāia East,Kaitaia East,0,51,15,0,0,0,0,0,0,0,69,0,66,21,0,0,0,0,0,0,0,93
4,100100,North Cape,North Cape,100800,Kaitāia West,Kaitaia West,0,24,0,0,0,0,0,0,0,0,30,0,27,0,0,0,0,0,0,0,0,30
5,100200,Rangaunu Harbour,Rangaunu Harbour,100100,North Cape,North Cape,0,9,0,0,0,0,0,0,0,0,18,0,18,12,0,0,0,0,0,0,0,30
6,100200,Rangaunu Harbour,Rangaunu Harbour,100200,Rangaunu Harbour,Rangaunu Harbour,213,93,21,15,0,0,0,12,0,0,354,240,99,18,9,0,0,0,12,0,0,381
7,100200,Rangaunu Harbour,Rangaunu Harbour,100400,Karikari Peninsula,Karikari Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,100200,Rangaunu Harbour,Rangaunu Harbour,100500,Tangonge,Tangonge,0,18,0,0,0,0,0,0,0,0,21,0,12,0,0,0,0,0,0,0,0,18
9,100200,Rangaunu Harbour,Rangaunu Harbour,100700,Kaitāia East,Kaitaia East,0,183,30,9,0,0,0,0,0,0,228,0,210,51,18,0,0,0,0,0,0,285
10,100200,Rangaunu Harbour,Rangaunu Harbour,100800,Kaitāia West,Kaitaia West,0,75,6,0,0,0,0,0,0,0,87,0,84,9,0,0,0,0,0,0,0,99
11,100200,Rangaunu Harbour,Rangaunu Harbour,100900,Rangitihi,Rangitihi,0,9,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,21
12,100200,Rangaunu Harbour,Rangaunu Harbour,101000,Oruru-Parapara,Oruru-Parapara,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
13,100200,Rangaunu Harbour,Rangaunu Harbour,101101,Doubtless Bay,Doubtless Bay,0,9,6,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,9
14,100200,Rangaunu Harbour,Rangaunu Harbour,103000,Kerikeri Central,Kerikeri Central,0,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9
15,100200,Rangaunu Harbour,Rangaunu Harbour,103501,Kaikohe,Kaikohe,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
16,100200,Rangaunu Harbour,Rangaunu Harbour,104600,Kawakawa,Kawakawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
17,100400,Karikari Peninsula,Karikari Peninsula,100200,Rangaunu Harbour,Rangaunu Harbour,0,9,0,0,0,0,0,0,0,0,12,0,18,6,0,0,0,0,0,0,0,27
18,100400,Karikari Peninsula,Karikari Peninsula,100400,Karikari Peninsula,Karikari Peninsula,102,54,6,6,0,0,0,0,0,0,177,180,57,6,0,0,0,0,0,0,0,255
19,100400,Karikari Peninsula,Karikari Peninsula,100500,Tangonge,Tangonge,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,18
20,100400,Karikari Peninsula,Karikari Peninsula,100700,Kaitāia East,Kaitaia East,0,51,24,0,0,0,0,0,0,0,81,0,75,21,0,0,0,0,0,0,0,102
21,100400,Karikari Peninsula,Karikari Peninsula,100800,Kaitāia West,Kaitaia West,0,24,0,0,0,0,0,0,0,0,27,0,42,0,0,0,0,0,0,0,0,42
22,100400,Karikari Peninsula,Karikari Peninsula,100900,Rangitihi,Rangitihi,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
23,100400,Karikari Peninsula,Karikari Peninsula,101000,Oruru-Parapara,Oruru-Parapara,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
24,100400,Karikari Peninsula,Karikari Peninsula,101101,Doubtless Bay,Doubtless Bay,0,21,6,0,0,0,0,0,0,0,30,0,36,0,0,0,0,0,0,0,0,45
25,100400,Karikari Peninsula,Karikari Peninsula,103000,Kerikeri Central,Kerikeri Central,0,9,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,6
26,100400,Karikari Peninsula,Karikari Peninsula,107100,Whangārei Central,Whangarei Central,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9
27,100500,Tangonge,Tangonge,100200,Rangaunu Harbour,Rangaunu Harbour,0,9,0,0,0,0,0,0,0,0,18,0,15,9,0,0,0,0,0,0,0,24
