SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_usual_residence_easting,SA2_usual_residence_northing,SA2_code_workplace_address,SA2_name_workplace_address,SA2_workplace_easting,SA2_workplace_northing,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
100100,North Cape,1579396.081,6181775.249,100100,North Cape,1579396.081,6181775.249,144,117,33,9,-999,-999,-999,21,-999,6,330
100200,Rangaunu Harbour,1612554.651,6136232.766,100200,Rangaunu Harbour,1612554.651,6136232.766,210,93,24,15,-999,-999,-999,12,-999,-999,354
100400,Karikari Peninsula,1634562.574,6127415.055,100400,Karikari Peninsula,1634562.574,6127415.055,102,54,6,6,-999,-999,-999,-999,-999,-999,177
100500,Tangonge,1619918.067,6113278.371,100500,Tangonge,1619918.067,6113278.371,123,30,9,-999,-999,-999,-999,-999,-999,-999,168
100600,Ahipara,1614655.612,6109255.026,100600,Ahipara,1614655.612,6109255.026,63,18,-999,-999,-999,-999,-999,-999,-999,-999,90
100700,Kaitaia East,1624073.029,6115410.045,100700,Kaitaia East,1624073.029,6115410.045,120,171,36,21,-999,-999,-999,36,-999,-999,393
100800,Kaitaia West,1624343.92,6113419.018,100800,Kaitaia West,1624343.92,6113419.018,114,114,9,6,-999,-999,-999,27,-999,-999,273
100900,Rangitihi,1628355.363,6112734.393,100900,Rangitihi,1628355.363,6112734.393,81,12,-999,-999,-999,-999,-999,-999,-999,-999,99
101000,Oruru-Parapara,1642075.248,6123164.914,101000,Oruru-Parapara,1642075.248,6123164.914,75,15,-999,-999,-999,-999,-999,-999,-999,-999,99
101100,Taumarumaru,1646334.536,6127202.169,101100,Taumarumaru,1646334.536,6127202.169,159,147,15,18,-999,-999,-999,21,-999,-999,366
101200,Herekino-Takahue,1633904.286,6105862.471,101200,Herekino-Takahue,1633904.286,6105862.471,105,18,-999,-999,-999,-999,-999,-999,-999,-999,126
101300,Peria,1640831.643,6113105.201,101300,Peria,1640831.643,6113105.201,111,-999,-999,-999,-999,-999,-999,-999,-999,-999,120
101400,Taemaro-Oruaiti,1652809.938,6123992.451,101400,Taemaro-Oruaiti,1652809.938,6123992.451,87,-999,-999,-999,-999,-999,-999,-999,-999,-999,99
101500,Whakapaku,1660463.444,6121224.839,101500,Whakapaku,1660463.444,6121224.839,81,15,6,-999,-999,-999,-999,-999,-999,-999,114
101600,Hokianga North,1630740.628,6086036.9,101600,Hokianga North,1630740.628,6086036.9,63,24,-999,-999,-999,-999,-999,-999,-999,-999,90
101700,Kohukohu-Broadwood,1642157.015,6094690.117,101700,Kohukohu-Broadwood,1642157.015,6094690.117,84,15,-999,-999,-999,-999,-999,-999,-999,-999,108
101800,Whakarara,1677497.545,6119649.836,101800,Whakarara,1677497.545,6119649.836,150,63,-999,-999,-999,-999,-999,6,-999,-999,225
101900,Kaeo,1667702.384,6109614.395,101900,Kaeo,1667702.384,6109614.395,111,66,9,9,-999,-999,-999,-999,-999,-999,204
102000,Omahuta Forest-Horeke,1656177.385,6094804.978,102000,Omahuta Forest-Horeke,1656177.385,6094804.978,114,21,-999,-999,-999,-999,-999,-999,-999,-999,141
102100,Hokianga South,1643948.142,6074946.173,102100,Hokianga South,1643948.142,6074946.173,96,60,12,-999,-999,-999,-999,15,-999,-999,192
102200,Lake Manuwai-Kapiro,1678789.755,6106356.023,102200,Lake Manuwai-Kapiro,1678789.755,6106356.023,231,48,21,-999,-999,-999,-999,9,-999,-999,312
102300,Okaihau,1671911.465,6094885.356,102300,Okaihau,1671911.465,6094885.356,135,24,6,-999,-999,-999,-999,15,-999,-999,192
102400,Rangitane-Purerua,1685559.532,6111672.79,102400,Rangitane-Purerua,1685559.532,6111672.79,150,24,9,-999,-999,-999,-999,-999,-999,-999,186
102500,Waipapa,1683593.395,6103289.363,102500,Waipapa,1683593.395,6103289.363,78,18,12,-999,-999,-999,-999,-999,-999,-999,126
102600,Puketotara,1682176.185,6098662.919,102600,Puketotara,1682176.185,6098662.919,222,30,21,-999,-999,-999,-999,15,-999,-999,291
102700,Waima Forest,1657103.151,6072747.743,102700,Waima Forest,1657103.151,6072747.743,60,9,-999,-999,-999,-999,-999,-999,-999,-999,78
102800,Riverview,1687602.224,6103459.297,102800,Riverview,1687602.224,6103459.297,171,33,9,-999,-999,-999,-999,-999,-999,-999,222
102900,Waipoua Forest,1646329.26,6062371.317,102900,Waipoua Forest,1646329.26,6062371.317,132,90,9,9,-999,-999,-999,9,-999,-999,246
103000,Kerikeri Central,1686540.007,6101582.465,103000,Kerikeri Central,1686540.007,6101582.465,135,177,33,9,-999,-999,-999,90,-999,-999,447
103100,Kerikeri South,1687138.248,6099211.35,103100,Kerikeri South,1687138.248,6099211.35,243,45,15,6,-999,-999,-999,12,-999,-999,324
103200,Ohaeawai-Waimate North,1678149.09,6089443.304,103200,Ohaeawai-Waimate North,1678149.09,6089443.304,132,21,15,-999,-999,-999,-999,-999,-999,-999,174
103300,Puketona-Waitangi,1691027.982,6095455.082,103300,Puketona-Waitangi,1691027.982,6095455.082,159,27,9,-999,-999,-999,-999,9,-999,6,213
